Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29612	BUSEDRA	Drammenselva	02.04.2019 13:00	245.134	7.23	5.9	2.8	4.19	3.9	4	8	900	3	1000	3.771								
29612	BUSEDRA	Drammenselva	02.04.2019 13:00																				6.49
29842	SFJENAU	Nausta	03.04.2019 08:55	23.229	6.35	2.05	0.36	<0.3	1.2	1	3	110	<2	150	1.196								
29842	SFJENAU	Nausta	03.04.2019 08:55																				0.715
29832	ROGEBJE	Bjerkreimselva	09.04.2019 17:00	39.74	6.61	3.67	0.3	0.64	1.4	<1	4	360	7	450	1.494								
29832	ROGEBJE	Bjerkreimselva	09.04.2019 17:00																				1.24
29819	FINEPAS	Pasvikelva	05.05.2019 19:00	535.556	6.94	2.9	2.7	15.7	2.7	5	28	25	82	170	4.521	0.28	0.185	0.031	12	4.9	16.4	0.36	
29819	FINEPAS	Pasvikelva	05.05.2019 19:00																				2.77
29617	?STEGLO	Glomma	06.05.2019 06:00	1384.917	7.03	4.06	7.5	11.6	5.8	9	17	280	10	500	4.071	0.17	0.325	0.02	2.26	6.6	0.85	0.27	
29617	?STEGLO	Glomma	06.05.2019 06:00																				4.56
29820	FINETAN	Tanaelva	06.05.2019 07:10	317.724	7	3.69	2.2	3.82	4.6	2	11	34	4	140	5.679	0.052	0.075	0.004	0.99	8.9	1.54	0.66	
29820	FINETAN	Tanaelva	06.05.2019 07:10																				3.36
29779	FINEALT	Altaelva	06.05.2019 07:45	132.828	7.61	9.04	<0.3	1.36	2.5	<1	5	61	<2	170	6.107	0.11	0.012	<0.003	0.4	0.18	0.2	0.19	
29779	FINEALT	Altaelva	06.05.2019 07:45																				10.5
29837	ROGEVIK	Vikedalselva	06.05.2019 08:30	4.698	6.64	2.48	0.33	0.44	0.9	<1	2	140	<2	200	0.857	0.14	0.068	0.008	0.25	1.4	0.21	0.037	
29837	ROGEVIK	Vikedalselva	06.05.2019 08:30																				1.31
