L?penr	Vassdrag	Lokalitets-ID	Lokalitet	Dato	pH	Ca	Turbiditet	SiO2	TOC	POC	DOC	TotP	TotN	NH4	NO3	TON	As	Pb	Cd	Cu	Cr	Ni	Zn	abs_254 nm	abs_285 nm	abs_365 nm	abs_410 nm
2253	Ekso	063-58804	Ekso ved Myster?yri (VK1)	04.07.2022	6.3	0.37	0.48	0.51	2.1	0.1	2	4	120	17	25	78	0.049	0.18	0.004	0.12	0.05	0.23	0.49	0.077	0.056	0.014	0.003
2254	Ekso	063-58804	Ekso ved Myster?yri (VK1)	11.07.2022	6.2	0.31		0.45	1.7			4.3	100		14												
2255	Ekso	063-58804	Ekso ved Myster?yri (VK1)	01.08.2022	6.3	0.75	0.36	0.68	3.2	0.3	2.9	3.45	235	3	150	82	0.069	0.15	0.0031	0.22	0.05	0.05	0.36	0.095	0.067	0.014	-0.001
2256	Ekso	063-58804	Ekso ved Myster?yri (VK1)	08.08.2022	6.2	0.4		0.56	2.8			2.5	130		41												
2257	Ekso	063-58804	Ekso ved Myster?yri (VK1)	05.09.2022	6.5	1.1	0.63	0.56	2	0.3	1.9	3.6	245	10	160	75	0.066	0.075	0.0046	0.29	0.05	0.13	0.63	0.07	0.048	0.014	0.006
2258	Ekso	063-58804	Ekso ved Myster?yri (VK1)	05.10.2022	6.1	0.57	0.54	0.83	2.8	0	2.8	3.55	130	4.6	37	88.4	0.065	0.18	0.0042	0.19	0.065	0.17	0.82	0.151	0.114	0.045	0.026
2259	Ekso	063-58804	Ekso ved Myster?yri (VK1)	31.10.2022	6	0.51	0.49	0.94	2.3	0.3	2.3	2.25	104	3	65	36	0.052	0.18	0.0055	0.16	0.05	0.12	0.76	0.078	0.055	0.004	-0.009
2260	Ekso	063-58804	Ekso ved Myster?yri (VK1)	05.12.2022	6.3	1.3	0.36	2	1.5	0.3	1.5	2	370	5.5	360	4.5	0.044	0.11	0.005	0.27	0.05	0.099	1.3	0.08	0.063	0.024	0.014
2261	Ekso	063-58804	Ekso ved Myster?yri (VK1)	02.01.2023	7	0.94	0.46	1.6	1.6	0	1.6	2.55	245	3	250	-8	0.035	0.082	0.01	0.05	0.05	0.067	2.1	0.069	0.051	0.017	0.008
2262	Ekso	063-58804	Ekso ved Myster?yri (VK1)	09.01.2023	6.1	0.7		1.4	1.7			2.6	220		160												
2263	Ekso	063-58804	Ekso ved Myster?yri (VK1)	30.01.2023	6	0.44	0.58	0.81	2.1	0	2.1	3.1	110	3.3	70	36.7	0.031	0.19	0.0065	0.13	0.05	0.05	0.87	0.13	0.102	0.053	0.038
2264	Ekso	063-58804	Ekso ved Myster?yri (VK1)	06.02.2023	6.4	1.2		1.5	1.2			2	230		240												
2265	Ekso	063-58804	Ekso ved Myster?yri (VK1)	27.02.2023	6.3	1.2	0.12	1.4	1.1	-300	1.4	2	210	3	220	-13	0.034	0.038	0.0096	0.15	0.05	0.05	1.4	0.011	0.006	-0.005	-0.008
2266	Ekso	063-58804	Ekso ved Myster?yri (VK1)	03.04.2023	6.6	1.6	0.24	1.4	1.6	300	1.3	2.45	225	6.1	220	-1.1	0.037	0.071	0.0077	0.13	0.05	0.15	1.2	0.034	0.021	0.004	0
2267	Ekso	063-58804	Ekso ved Myster?yri (VK1)	17.04.2023	6.6	0.98			1.5																		
2268	Ekso	063-58804	Ekso ved Myster?yri (VK1)	02.05.2023	6.9	1.3	0.2	1.2	1.8	0	1.8	2	135	3	94	38	0.049	0.099	0.0072	0.05	0.05	0.13	0.89	0.07	0.051	0.014	0.005
2269	Ekso	063-58804	Ekso ved Myster?yri (VK1)	08.05.2023	6.6	1			1.3																		
2270	Ekso	063-58804	Ekso ved Myster?yri (VK1)	15.05.2023	6.5	0.86			1.2																		
2271	Ekso	063-58804	Ekso ved Myster?yri (VK1)	22.05.2023	6.4	0.73			1.3																		
2272	Ekso	063-58804	Ekso ved Myster?yri (VK1)	24.05.2023	6.7	0.93			1.3																		
2273	Ekso	063-58804	Ekso ved Myster?yri (VK1)	30.05.2023	6.4	0.74			1.3																		
2274	Ekso	063-58804	Ekso ved Myster?yri (VK1)	05.06.2023	6.5	0.57	0.27	0.49	1.1	300	1.1	2	53.5	4.2	29	20.3	0.043	0.054	0.004	0.1	0.05	0.093	0.5	0.038	0.027	0.007	0.003
2275	Ekso	063-58804	Ekso ved Myster?yri (VK1)	04.07.2023	6.3	0.4	0.15	0.49	1.7	-100	1.8	2.1	53.5	3	19	31.5	0.057	0.11	0.004	0.17	0.05	0.091	0.5	0.055	0.035	0.006	-0.002
2276	Ekso	063-58804	Ekso ved Myster?yri (VK1)	10.07.2023	6.5	0.45		0.28	0.92			2	53		19												
2277	Ekso	063-58804	Ekso ved Myster?yri (VK1)	31.07.2023	6.3	0.93	0.32	0.51	2.3	100	2.2	2	140	3	65	72	0.085	0.078	0.004	0.23	0.057	0.05	0.77	0.095	0.069	0.021	0.01
2278	Ekso	063-58804	Ekso ved Myster?yri (VK1)	07.08.2023	6.6	0.98		0.47	2.2			2.8	140		69												
2279	Ekso	063-58804	Ekso ved Myster?yri (VK1)	04.09.2023	6.3	0.61	1.6	0.94	2.9	100	2.8	4.4	125	3.3	34	87.7	0.093	0.31	0.004	0.26	0.16	0.16	0.75	0.099	0.073	0.024	0.012
2280	Ekso	063-58804	Ekso ved Myster?yri (VK1)	02.10.2023	6.2	0.78	0.19	0.88	2.4	-100	2.5	2.15	140	4.8	87	48.2	0.068	0.12	0.004	0.31	0.05	0.16	0.79	0.108	0.083	0.026	0.013
2281	Ekso	063-58804	Ekso ved Myster?yri (VK1)	30.10.2023	6.7	1.5	0.11	1.3	1.5	100	1.4	2	265	3	270	-8	0.044	0.047	0.005	0.67	0.05	0.14	0.89	0.041	0.031	0.011	0.007
2282	Ekso	063-58804	Ekso ved Myster?yri (VK1)	02.01.2024	6.2	0.91	0.19	1.5	1.1	0	1.1	2	190	3	190	-3	0.042	0.065	0.006	0.18	0.05	0.12	1.2	0.062	0.047	0.018	0.009
2283	Ekso	063-58804	Ekso ved Myster?yri (VK1)	15.01.2024	6.5	1.3		1.7	1			2	230		220												
2284	Ekso	063-58804	Ekso ved Myster?yri (VK1)	29.01.2024	6.2	0.61	0.41	0.86	1.6	300	1.3	2.95	97	9.5	220	-132.5	0.047	0.24	0.011	0.1	0.05	0.14	1.4	0.071	0.053	0.02	0.01
2285	Ekso	063-58804	Ekso ved Myster?yri (VK1)	06.02.2024	5.8	1		1	0.95			2	150		140												
2286	Ekso	063-58804	Ekso ved Myster?yri (VK1)	26.02.2024	6.3	1.2	0.1	1.4	1.1	0	1.1	2	175	3	130	42	0.029	0.088	0.012	0.12	0.05	0.22	2.1	0.062	0.045	0.015	0.007
2287	Ekso	063-58804	Ekso ved Myster?yri (VK1)	01.04.2024	6.5	1.1	0.1	1.3	1.5	300	1.4	2.4	125	3	92	30	0.04	0.085	0.008	0.17	0.05	0.16	1.1	0.093	0.074	0.031	0.019
2288	Ekso	063-58804	Ekso ved Myster?yri (VK1)	15.04.2024	6.4	0.9			1.3																		
2289	Ekso	063-58804	Ekso ved Myster?yri (VK1)	22.04.2024	6.4	1.1			1.8																		
2290	Ekso	063-58804	Ekso ved Myster?yri (VK1)	29.04.2024	6.6	1	0.1	0.77	1.2	-300	1.5	2	69.5	16	50	3.5	0.042	0.063	0.006	0.17	0.05	0.16	0.84	0.034	0.025	0.007	0.004
2291	Ekso	063-58804	Ekso ved Myster?yri (VK1)	27.05.2024	6.4	0.48			0.7																		
2292	Ekso	063-58804	Ekso ved Myster?yri (VK1)	04.06.2024	6.3	0.5	0.22	0.38	1	0	1	2	59.5	4.9	10	44.6	0.043	0.083	0.004	0.18	0.05	1.2	0.5	0.044	0.033	0.016	0.012
2293	Ekso	063-58804	Ekso ved Myster?yri (VK1)	01.07.2024	6.3	0.61	0.16	0.51	1.8	300	1.8	2.15	53	3	11	39	0.069	0.1	0.004	0.31	0.05	0.11	0.61	0.057	0.041	0.013	0.007
2294	Ekso	063-58804	Ekso ved Myster?yri (VK1)	08.07.2024	6.7	0.69		0.34	1.6			2.5	56		17												
2295	Ekso	063-58804	Ekso ved Myster?yri (VK1)	29.07.2024	6.5	1.2	0.27	0.96	2.8	200	2.6	2.3	145	3	100	42	0.083	0.14	0.005	0.3	0.05	0.17	1.1	0.104	0.074	0.024	0.013
2296	Ekso	063-58804	Ekso ved Myster?yri (VK1)	05.08.2024	6.4	0.76		0.71	3.1			3	150		29												
2297	Ekso	063-58804	Ekso ved Myster?yri (VK1)	02.09.2024	6.4	1.2	0.24	0.94	2	300	1.9	2.85	240	3.5	200	36.5	0.069	0.083	0.005	0.38	0.099	0.22	1.6	0.072	0.057	0.02	0.009
2298	Ekso	063-58804	Ekso ved Myster?yri (VK1)	30.09.2024	6.5	1.8	0.19	1.6	2.8	300	2.7	2.3	395	3	330	62	0.082	0.15	0.006	0.34	0.058	0.2	1.9	0.117	0.083	0.025	0.012
2299	Ekso	063-58804	Ekso ved Myster?yri (VK1)	28.10.2024	6.2	0.78	0.38	0.94	1.9	300	1.8	2.25	96	3	45	48	0.05	0.11	0.005	0.2	0.05	0.15	2.4	0.062	0.043	0.011	0.003
2300	Ekso	063-58804	Ekso ved Myster?yri (VK1)	02.12.2024	6.4	0.84	0.42	0.73	1.5	-100	1.6	4.3	92.5	4	50	38.5	0.045	0.13	0.006	0.27	0.053	0.14	1.4	3.278	2.34	0.002	-0.002
2301	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	07.01.2019	6.32	0.73		0.79	0.79			2	88		70												
2302	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	14.01.2019	6.36	0.67																					
2303	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.02.2019	6.22	0.59		0.61	0.5			2	72		66												
2304	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	11.02.2019	6.38	0.56																					
2305	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.02.2019	6.37	0.74																					
2306	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	25.02.2019	6.41	0.82																					
2307	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.03.2019	6.41	0.51		0.71	0.58			2	98		93												
2308	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	11.03.2019	6.19	0.72																					
2309	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.03.2019	6.51	0.88																					
2310	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	25.03.2019	6.58	1.07																					
2311	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	01.04.2019	6.55	0.87		0.67	0.52			2	84		97												
2312	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	08.04.2019	6.43	0.68																					
2313	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	15.04.2019	6.57	0.74																					
2314	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	22.04.2019	6.56	0.8																					
2315	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	29.04.2019	6.16	0.79																					
2316	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	06.05.2019	6.56	1.09		0.69	1.2			2	110		80												
2317	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	13.05.2019	6.58	0.86																					
2318	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	20.05.2019	6.41	0.83																					
2319	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	27.05.2019	6.39	0.86																					
2320	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	03.06.2019	6.43	0.69		0.77	3.8			2	78		70												
2321	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	17.06.2019	6.43	0.81																					
2322	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	01.07.2019	5.85	0.15		0.54	2.2			3	83		20												
2323	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	15.07.2019	6.29	0.26																					
2324	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	29.07.2019	6.37	0.39																					
2325	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	05.08.2019	6.31	0.2		0.4	1.3			2	75		30												
2326	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	12.08.2019	6.2	0.24																					
2327	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	26.08.2019	6.15	0.33																					
2328	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	02.09.2019	5.99	0.17		0.73	1.7			2	89		60												
2329	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	30.09.2019	6.07	0.23		0.76	1.1			2	63		50												
2330	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	07.10.2019	6.2	0.22																					
2331	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	21.10.2019	5.9	0.24																					
2332	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.11.2019	6.08	0.27		1.04	0.64			2	96		100												
2333	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.11.2019	6.01	0.27																					
2334	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	02.12.2019	6.14	0.24		1.08	0.99			2	73		70												
2335	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	09.12.2019	6.29	0.73																					
2336	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	06.01.2020	6.2	0.5		0.77	1.1			2	65		70												
2337	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	13.01.2020	6.33	0.76																					
2338	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	03.02.2020	6.32	0.93		1.06	0.9			2	89		90												
2339	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	10.02.2020	6.26	0.56																					
2340	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	17.02.2020	6.39	0.79																					
2341	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	24.02.2020	6.36	1.02																					
2342	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	02.03.2020	6.26	0.69		0.97	0.52			2	76		70												
2343	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	09.03.2020	6.37	0.77																					
2344	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	16.03.2020	6.36	1.02																					
2345	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	23.03.2020	6.68	0.84																					
2346	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	06.04.2020	6.44	0.87		0.79	1.4			2	87		80												
2347	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	13.04.2020	6.64	1																					
2348	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	20.04.2020	6.5	0.89			0.5																		
2349	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	27.04.2020	6.48	0.84			0.5																		
2350	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.05.2020	6.46	0.82			1.3																		
2351	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	11.05.2020	6.51	1.03		0.97	1.1			2	78		80												
2352	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.05.2020	6.56	0.97			1.3																		
2353	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	25.05.2020	6.54	0.86			1.2																		
2354	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	01.06.2020	6.48	0.78			0.7																		
2355	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	08.06.2020	6.36	0.68		0.58	1			2	77		90												
2356	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	22.06.2020	6.34	0.49																					
2357	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	06.07.2020	6.01	0.12		0.56	2.1			2	64		30												
2358	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	13.07.2020	6.16	0.11																					
2359	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	27.07.2020	6.14	0.11																					
2360	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	03.08.2020	6.06	0.21		0.43	1.4			2	31		40												
2361	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	10.08.2020	6.04	0.11																					
2362	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	24.08.2020	6.18	0.092																					
2363	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	07.09.2020	6	0.18		0.6	1.1			2	86		56												
2364	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	15.09.2020	5.8				1.3																		
2365	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	21.09.2020	5.9																						
2366	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	05.10.2020	6	0.23		0.58	1.4			2	59		45												
2367	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	20.10.2020	5.9																						
2368	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	02.11.2020	5.8	0.19		0.9	2.3			2	100		52												
2369	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	16.11.2020	5.9																						
2370	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	30.11.2020	5.7																						
2371	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	07.12.2020	6.3	0.53		0.98	0.91			2	81		75												
2372	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	21.12.2020	6.2																						
2373	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.01.2021	6.3	0.57		0.73	0.99			2	85		75												
2374	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.01.2021	6.2	0.53																					
2375	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	19.01.2021	6.6	0.79			1																		
2376	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	01.02.2021	6.3	0.6		0.75	0.9			2	94		75												
2377	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	15.02.2021	6.4	0.56																					
2378	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	22.02.2021	6.3	0.66																					
2379	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	01.03.2021	6.3	0.66		0.83	0.7			3.2	140		110												
2380	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	08.03.2021	6.3	0.69																					
2381	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	15.03.2021	6.4	0.72																					
2382	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	22.03.2021	6.5	0.8																					
2383	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	29.03.2021	6.4	0.77																					
2384	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	06.04.2021	6.7	0.95		0.92	0.91			2	130		120												
2385	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	12.04.2021	6.5	0.86																					
2386	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	26.04.2021	6.5	0.81			1.1																		
2387	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	03.05.2021	6.5	0.82		0.75	0.86			2	120		87												
2388	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	10.05.2021	6.4	0.74			0.99																		
2389	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.05.2021	6.5	0.71			0.59																		
2390	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	25.05.2021	6.6	0.81			0.6																		
2391	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	31.05.2021	6.5	0.79			0.61																		
2392	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	07.06.2021	6.6	0.69		0.62	0.6			2	86		59												
2393	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	21.06.2021	6.4	0.57																					
2394	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	05.07.2021	6	0.23		0.51	0.65			2	72		44												
2395	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	19.07.2021	6.1	0.22																					
2396	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	02.08.2021	6.2	0.22		0.45	0.81			2	62		28												
2397	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	16.08.2021	6.1	0.22																					
2398	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	30.08.2021	6.2	0.27																					
2399	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	06.09.2021	6.2	0.31		0.51	0.75			2	64		40												
2400	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	20.09.2021	6.1	0.31																					
2401	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	07.10.2021	5.9	0.26		1	1.8			2.3	120		51												
2402	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.10.2021	5.9	0.26																					
2403	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	01.11.2021	6	0.23		0.86	1.4			2	110		79												
2404	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	15.11.2021	5.9	0.23																					
2405	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	29.11.2021	6	0.24																					
2406	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	06.12.2021	6.2	0.51		0.79	0.93			3	87		49												
2407	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	20.12.2021	6.3	0.71																					
2408	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	03.01.2022	6.1	0.54		0.9	0.9			3.5	120		67												
2409	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	17.01.2022	6.3	0.53																					
2410	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	31.01.2022	6.3	0.93		1.1	0.85			2	130		110												
2411	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	14.02.2022	6.5	0.92																					
2412	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	21.02.2022	6.1	0.59																					
2413	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	28.02.2022	6.2	0.57		0.86	0.68			2	93		79												
2414	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	07.03.2022	6.1	0.57																					
2415	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	14.03.2022	6.1	0.57																					
2416	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	21.03.2022	6.3	0.83																					
2417	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	28.03.2022	6.2	0.9																					
2418	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.04.2022	6.3	0.77		0.49	0.51			2	99		84												
2419	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	11.04.2022	6.4	0.8																					
2420	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	19.04.2022	6.3	0.73			0.54																		
2421	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	25.04.2022	6.4	0.93			0.78																		
2422	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	02.05.2022	6.3	0.75		0.92	0.61			2	89		85												
2423	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	09.05.2022	6.4	0.98			0.76																		
2424	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	16.05.2022	6.4	0.73			0.59																		
2425	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	23.05.2022	6.4	0.7			0.53																		
2426	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	30.05.2022	6.4	0.82			0.47																		
2427	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	07.06.2022	6.4	0.75		0.73	0.71			2	89		55												
2428	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	20.06.2022	6.3	0.62																					
2429	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.07.2022	5.8	0.21		0.6	1.1			2.4	92		35												
2430	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.07.2022	5.9	0.15																					
2431	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	01.08.2022	6.6	0.19		0.62	0.85			2	69		41												
2432	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	15.08.2022	6.2	0.2																					
2433	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	29.08.2022	6.3	0.18																					
2434	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	05.09.2022	6	0.28		0.53	0.77			2	100		49												
2435	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	19.09.2022	6.1	0.24																					
2436	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	03.10.2022	5.8	0.3		0.79	1.1			2	110		50												
2437	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	17.10.2022	5.8	0.24																					
2438	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	31.10.2022	5.7	0.2		0.92	1.7			2	89		60												
2439	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	11.11.2022	5.8	0.17		0.92	1.8			2	120		38												
2440	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	14.11.2022	6	0.2																					
2441	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	28.11.2022	5.9	0.25																					
2442	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	05.12.2022	6.1	0.34		0.73	0.97			2	55		40												
2443	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	19.12.2022	6	0.38																					
2444	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	03.01.2023	5.9	0.65		0.86	0.79			2.5	98		89												
2445	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	16.01.2023	6.3	0.54																					
2446	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	30.01.2023	6.2	0.52		1	1.2			2	120		120												
2447	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	13.02.2023	6.6	0.57																					
2448	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	20.02.2023	6.2	0.64																					
2449	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	27.02.2023	6.3	0.9		1.2	0.57			2	120		130												
2450	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	06.03.2023	6.3	0.7																					
2451	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	13.03.2023	6.4	0.68																					
2452	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	20.03.2023	6.6	0.73																					
2453	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	27.03.2023	6.5	0.93																					
2454	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	03.04.2023	6.4	1.5		1	0.59			2	120		110												
2455	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	11.04.2023	6.7	0.96																					
2456	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	17.04.2023	6.7	0.98			0.61																		
2457	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	24.04.2023	6.5	1.1			1.2																		
2458	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	02.05.2023	6.5	1.2		1	0.64			2	96		86												
2459	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	08.05.2023	6.5	1			0.9																		
2460	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	15.05.2023	6.7	0.77			0.86																		
2461	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	22.05.2023	6.6	1.2			0.99																		
2462	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	30.05.2023	6.5	0.98			1.2																		
2463	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	05.06.2023	6.5	1.1		0.86	0.68			2	100		71												
2464	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	19.06.2023	6.6	0.58																					
2465	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.07.2023	6.1	0.33		0.6	0.66			2	57		43												
2466	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	17.07.2023	5.8	0.18																					
2467	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	31.07.2023	6.3	0.26		0.58	1.1			2	59		35												
2468	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	14.08.2023	6.4	0.24																					
2469	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	28.08.2023	6.7	0.21																					
2470	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	04.09.2023	5.9	0.26		0.92	1.9			2	84		26												
2471	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	18.09.2023	6.2	0.31																					
2472	Modalselva	064-28997	Melva, utl?p fjorden (VK1)	02.10.2023	5.9	0.39		0.96	1.5			2	88		47												
